,user_name,text,created_at,favorite_count,text_clean,tokenized_text,stopwords_text,text_string,text_string_lemm
66,Marie Woodson,2/2: Kudos to Congresswoman Debbie Wasserman and Property Appraiser Marty Kiar for doing an outstanding job emceein… https://t.co/4ZXnMWHDa7,2022-09-04,1, kudos to congresswoman debbie wasserman and property appraiser marty kiar for doing an outstanding job emceein ,"['kudos', 'to', 'congresswoman', 'debbie', 'wasserman', 'and', 'property', 'appraiser', 'marty', 'kiar', 'for', 'doing', 'an', 'outstanding', 'job', 'emceein']","['kudos', 'congresswoman', 'debbie', 'wasserman', 'property', 'appraiser', 'marty', 'kiar', 'outstanding', 'job', 'emceein']",kudos congresswoman debbie wasserman property appraiser marty kiar outstanding job emceein,kudos congresswoman debbie wasserman property appraiser marty kiar outstanding job emceein
67,Marie Woodson,1/2: Supporting the men and women who work extremely hard for our State of Florida. Congratulations to Bill Reynold… https://t.co/G47uGtMLW0,2022-09-04,26, supporting the men and women who work extremely hard for our state of florida congratulations to bill reynold ,"['supporting', 'the', 'men', 'and', 'women', 'who', 'work', 'extremely', 'hard', 'for', 'our', 'state', 'of', 'florida', 'congratulations', 'to', 'bill', 'reynold']","['supporting', 'men', 'women', 'work', 'extremely', 'hard', 'state', 'florida', 'congratulations', 'bill', 'reynold']",supporting men women work extremely hard state florida congratulations bill reynold,supporting men women work extremely hard state florida congratulations bill reynold
68,Marie Woodson,"The upcoming November 8 Election matters!! 

Please click on this link to verify your voter registration status her… https://t.co/L0xXwut5uA",2022-09-04,2,the upcoming november  election matters please click on this link to verify your voter registration status her ,"['the', 'upcoming', 'november', 'election', 'matters', 'please', 'click', 'on', 'this', 'link', 'to', 'verify', 'your', 'voter', 'registration', 'status', 'her']","['upcoming', 'november', 'election', 'matters', 'please', 'click', 'link', 'verify', 'voter', 'registration', 'status']",upcoming november election matters please click link verify voter registration status,upcoming november election matters please click link verify voter registration status
69,Marie Woodson,RT @ItsChrisByrnes: Fired up and ready to go! after hearing the uplifting introduction from @MarieWoodsonFL and all the ways @CharlieCrist…,2022-09-04,0,fired up and ready to go after hearing the uplifting introduction from  and all the ways ,"['fired', 'up', 'and', 'ready', 'to', 'go', 'after', 'hearing', 'the', 'uplifting', 'introduction', 'from', 'and', 'all', 'the', 'ways']","['fired', 'ready', 'go', 'hearing', 'uplifting', 'introduction', 'ways']",fired ready hearing uplifting introduction ways,fired ready hearing uplifting introduction ways
70,Marie Woodson,https://t.co/SETxl6mM3S,2022-09-04,0,,[],[],,
71,Marie Woodson,RT @FAPPA: We know @MarieWoodsonFL is a passionate and determined defender of reproductive rights and we're celebrating her primary win! Co…,2022-08-25,0,we know  is a passionate and determined defender of reproductive rights and were celebrating her primary win co,"['we', 'know', 'is', 'a', 'passionate', 'and', 'determined', 'defender', 'of', 'reproductive', 'rights', 'and', 'were', 'celebrating', 'her', 'primary', 'win', 'co']","['know', 'passionate', 'determined', 'defender', 'reproductive', 'rights', 'celebrating', 'primary', 'win', 'co']",know passionate determined defender reproductive rights celebrating primary win,know passionate determined defender reproductive rights celebrating primary win
72,Marie Woodson,"RT @browarddems: Congratulations to @MarieWoodsonFL! We are running to win on November 8th.

Are you in?

@FlaDems @TheDemocrats 

#FlipFLB…",2022-08-25,0,congratulations to  we are running to win on november thare you in  flipflb,"['congratulations', 'to', 'we', 'are', 'running', 'to', 'win', 'on', 'november', 'thare', 'you', 'in', 'flipflb']","['congratulations', 'running', 'win', 'november', 'thare', 'flipflb']",congratulations running win november thare flipflb,congratulations running win november thare flipflb
73,Marie Woodson,RT @RuthsListFL: Congratulations to @mariewoodsonfl on a major victory in Broward County tonight! https://t.co/f0XbuDZeUA,2022-08-24,0,congratulations to  on a major victory in broward county tonight ,"['congratulations', 'to', 'on', 'a', 'major', 'victory', 'in', 'broward', 'county', 'tonight']","['congratulations', 'major', 'victory', 'broward', 'county', 'tonight']",congratulations major victory broward county tonight,congratulations major victory broward county tonight
74,Marie Woodson,RT @valbglenister: So many great wins tonight but I am especially proud of @MarieWoodsonFL and @LeaderBookFL . Knowing that my city is repr…,2022-08-24,0,so many great wins tonight but i am especially proud of  and   knowing that my city is repr,"['so', 'many', 'great', 'wins', 'tonight', 'but', 'i', 'am', 'especially', 'proud', 'of', 'and', 'knowing', 'that', 'my', 'city', 'is', 'repr']","['many', 'great', 'wins', 'tonight', 'especially', 'proud', 'knowing', 'city', 'repr']",many great wins tonight especially proud knowing city repr,many great wins tonight especially proud knowing city repr
75,Marie Woodson,"RT @Fla_Pol: South Florida state lawmakers @SkidmoreKelly, @MarieWoodsonFL, @RepCBenjamin emerge from Primaries unscathed

Reporting by @re…",2022-08-24,0,south florida state lawmakers    emerge from primaries unscathedreporting by ,"['south', 'florida', 'state', 'lawmakers', 'emerge', 'from', 'primaries', 'unscathedreporting', 'by']","['south', 'florida', 'state', 'lawmakers', 'emerge', 'primaries', 'unscathedreporting']",south florida state lawmakers emerge primaries unscathedreporting,south florida state lawmakers emerge primaries unscathedreporting
76,Marie Woodson,"RT @FAPPA: ?@skidmorekelly 
?@MarieWoodsonFL
? Jordan Leonard
? @repcbenjamin 
? @RepDotieJoseph 
? @Gantt4Florida 
? @angelaeady 

https:/…",2022-08-24,0,  jordan leonard        https,"['jordan', 'leonard', 'https']","['jordan', 'leonard', 'https']",jordan leonard https,jordan leonard https
77,Marie Woodson,RT @DolphinDems: Congratulations to Dolphin Democrats endorsed candidate @MarieWoodsonFL on her Democratic Primary win for Florida House Di…,2022-08-24,0,congratulations to dolphin democrats endorsed candidate  on her democratic primary win for florida house di,"['congratulations', 'to', 'dolphin', 'democrats', 'endorsed', 'candidate', 'on', 'her', 'democratic', 'primary', 'win', 'for', 'florida', 'house', 'di']","['congratulations', 'dolphin', 'democrats', 'endorsed', 'candidate', 'democratic', 'primary', 'win', 'florida', 'house', 'di']",congratulations dolphin democrats endorsed candidate democratic primary win florida house,congratulations dolphin democrats endorsed candidate democratic primary win florida house
